,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
477,Asi-MQDXJP.PAGES2k.2013,tree,34.72,99.67,500.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_053
478,Asi-CHIN018.Li.2010,tree,29.28,100.08,2150.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_040
479,Ocn-DryTortugas.Lund.2006,marine sediment,24.59,-83.58,-530.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPDf7bace53
481,Ocn-ClippertonAtoll.Linsley.2000,coral,10.2773,-109.2131,-8.2,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_169
482,Asi-MONG009.Jacoby.2013,tree,49.92,91.57,2800.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_147
483,Asi-NEPA029.Krusic.2013,tree,28.18,85.43,4000.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_174
484,Asi-MiddleYangtzeRiver.Zhang.1980,documents,30.5,114.5,1900.0,temperature,index,historic,,year,Pages2kTemperature,Asia_325
485,Asi-HYGJUP.PAGES2k.2013,tree,38.7,99.68,5600.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_077
486,Asi-NEPA014.Krusic.2013,tree,27.7,86.28,3400.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_169
487,NAm-SleepingDeerRoad.Hughes.2005,tree,44.6,-114.5,2820.0,MXD,,MXD,,year,Pages2kTemperature,NAm_2668
488,NAm-SleepingDeerRoad.Hughes.2005,tree,44.6,-114.5,2820.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2656
489,NAm-SettlementPointAfognakIsland.Harlan.1998,tree,58.1,-152.7,10.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_172
490,Asi-BURGPW.PAGES2k.2013,tree,28.77,83.73,2500.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_178
